Symbol,Name,CEO,YR,SALARY
TSLA,"Tesla, Inc.",Elon Musk,2018,2284044884
AAXN,"Axon Enterprise, Inc.",Patrick Smith,2018,246026710
DISCA,"Discovery, Inc.",David Zaslav,2018,129499005
ORCL,Oracle Corp.,Mark Hurd,2018,108295023
OMF,"OneMain Holdings, Inc.",Jay Levine,2018,71532583
TMUS,"T-Mobile US, Inc.",John Legere,2018,66538206
LIN,Linde Plc,Stephen Angel,2018,66149325
DIS,The Walt Disney Co.,Robert Iger,2018,65645214
PFPT,"Proofpoint, Inc.",Gary Steele,2018,64730296
MRNA,"Moderna, Inc.",Stephane Bancel,2018,58608484
FOXA,"Twenty-First Century Fox, Inc.",James Murdoch,2018,50263861
PTC,"PTC, Inc.",James Heppelmann,2018,49969163
CWK,Cushman & Wakefield Plc,W. White,2018,49239960
EL,"The Estee Lauder Companies, Inc.",Fabrizio Freda,2018,48753819
CBS,CBS Corp.,Leslie Moonves,2018,47061688
JCOM,"j2 Global, Inc.",Vivek Shah,2018,45062153
JEF,"Jefferies Financial Group, Inc.",Richard Handler,2018,44674213
KRC,Kilroy Realty Corp.,John Kilroy Jr.,2018,43624774
HOME,"At Home Group, Inc.",Lewis Bird III,2019,43089790
TREE,"LendingTree, Inc.",Douglas Lebda,2018,42318238
BJ,"BJ's Wholesale Club Holdings, Inc.",Christopher Baldwin,2019,42056764
HOLX,"Hologic, Inc.",Stephen MacMillan,2018,42040142
ALGN,"Align Technology, Inc.",Joseph Hogan,2018,41758338
NVR,"NVR, Inc.",Paul Saville,2018,39134164
PYPL,"PayPal Holdings, Inc.",Daniel Schulman,2018,37764588
NFLX,"Netflix, Inc.",Reed Hastings,2018,36080417
ADT,"ADT, Inc.",Timothy Whall,2018,35756110
EA,"Electronic Arts, Inc.",Andrew Wilson,2018,35728764
CTL,"CenturyLink, Inc.",Jeffrey Storey,2018,35655646
CMCSA,Comcast Corp.,Brian Roberts,2018,35026207
ROP,"Roper Technologies, Inc.",Brian Jellison,2018,34931318
AVYA,Avaya Holdings Corp.,James Chirico Jr.,2018,32871900
DXC,DXC Technology Co.,J. Lawrie,2018,32185309
DVA,"DaVita, Inc.",Kent Thiry,2018,32017501
ATVI,"Activision Blizzard, Inc.",Robert Kotick,2018,30841004
JPM,JPMorgan Chase & Co.,James Dimon,2018,30033745
BGCP,"BGC Partners, Inc.",Howard Lutnick,2018,29694152
NES,"Nuverra Environmental Solutions, Inc.",Mark Johnsrud,2018,29241384
T,"AT&T, Inc.",Randall Stephenson,2018,29118118
ADBE,"Adobe, Inc.",Shantanu Narayen,2018,28397528
CRM,"salesforce.com, inc.",Marc Benioff,2019,28391846
PLD,"Prologis, Inc.",Hamid Moghadam,2018,28201400
MS,Morgan Stanley,James Gorman,2018,28168639
DOV,Dover Corp.,Richard Tobin,2018,27931401
SKX,"SKECHERS USA, Inc.",Robert Greenberg,2018,27361406
CAT,Caterpillar Inc.,D. Umpleby III,2018,27289513
WSM,"Williams-Sonoma, Inc.",Laura Alber,2019,27254166
BOFI,"Axos Financial, Inc.",Gregory Garrabrants,2018,26975924
PRU,"Prudential Financial, Inc.",John Strangfeld,2018,26696966
RH,RH,Gary Friedman,2018,26564470
BLK,"BlackRock, Inc.",Laurence Fink,2018,26543344
REGN,"Regeneron Pharmaceuticals, Inc.",Leonard Schleifer,2018,26520555
CNC,Centene Corp.,Michael Neidorff,2018,26122414
GILD,"Gilead Sciences, Inc.",John Milligan,2018,25961831
MSFT,Microsoft Corp.,Satya Nadella,2018,25843263
AMP,"Ameriprise Financial, Inc.",James Cracchiolo,2018,25742524
LLL,"L3 Technologies, Inc.",Christopher Kubasik,2018,25511433
COOP,"Mr. Cooper Group, Inc.",Jay Bray,2018,25119076
PEP,"PepsiCo, Inc.",Indra Nooyi,2018,24491117
ABT,Abbott Laboratories,Miles White,2018,24254238
AXP,American Express Co.,Kenneth Chenault,2018,24208661
NOC,Northrop Grumman Corp.,Wesley Bush,2018,24185259
C,Citigroup Inc.,Michael Corbat,2018,24183714
LVS,Las Vegas Sands Corp.,Sheldon Adelson,2018,24012913
BLUE,"bluebird bio, Inc.",Nick Leschly,2018,23962220
OMC,"Omnicom Group, Inc.",John Wren,2018,23945128
WMT,"Walmart, Inc.",C. McMillon,2019,23618233
UHS,"Universal Health Services, Inc.",Alan Miller,2018,23588883
VMW,"VMware, Inc.",Patrick Gelsinger,2019,23569191
TPC,Tutor Perini Corp.,Ronald Tutor,2018,23492298
TDG,"TransDigm Group, Inc.",Kevin Stein,2018,23471608
COP,ConocoPhillips,Ryan Lance,2018,23406270
BA,The Boeing Co.,Dennis Muilenburg,2018,23392187
GS,"The Goldman Sachs Group, Inc.",Lloyd Blankfein,2018,23390658
BAC,Bank of America Corp.,Brian Moynihan,2018,22754510
CHK,Chesapeake Energy Corp.,Robert Lawler,2018,22745427
NCLH,Norwegian Cruise Line Holdings Ltd.,Frank Rio,2018,22593061
FB,"Facebook, Inc.",Mark Zuckerberg,2018,22554543
GDDY,"GoDaddy, Inc.",Scott Wagner,2018,22520839
RTN,Raytheon Co.,Thomas Kennedy,2018,22420258
G,Genpact Ltd.,N.V. Tyagarajan,2018,22299191
ACN,Accenture Plc,Pierre Nanterme,2018,22299174
VZ,"Verizon Communications, Inc.",Hans Vestberg,2018,22206086
CVS,CVS Health Corp.,Larry Merlo,2018,21939098
IP,International Paper Co.,Mark Sutton,2018,21911137
GM,General Motors Co.,Mary Barra,2018,21870450
LMT,Lockheed Martin Corp.,Marillyn Hewson,2018,21516613
HCA,"HCA Healthcare, Inc.",R. Johnson,2018,21419906
NEE,"NextEra Energy, Inc.",James Robo,2018,21358742
CSCO,"Cisco Systems, Inc.",Charles Robbins,2018,21284339
ABBV,"AbbVie, Inc.",Richard Gonzalez,2018,21271869
LNG,"Cheniere Energy, Inc.",Jack Fusco,2018,21266901
CHDN,"Churchill Downs, Inc.",William Carstanjen,2018,21120369
INTU,"Intuit, Inc.",Brad Smith,2018,21071738
MRK,"Merck & Co., Inc.",Kenneth Frazier,2018,20934504
AIG,"American International Group, Inc.",Brian Duperreault,2018,20854669
GPS,"Gap, Inc.",Arthur Peck,2019,20793939
GD,General Dynamics Corp.,Phebe Novakovic,2018,20720254
YETI,"YETI Holdings, Inc.",Matthew Reintjes,2018,20716904
AGCO,AGCO Corp.,Martin Richenhagen,2018,20648619
CVX,Chevron Corp.,Michael Wirth,2018,20640623
AMCX,"AMC Networks, Inc.",Joshua Sapan,2018,20615390
BKNG,"Booking Holdings, Inc.",Glenn Fogel,2018,20459184
MA,"Mastercard, Inc.",Ajay Banga,2018,20379353
CB,Chubb Ltd.,Evan Greenberg,2018,20357484
MSI,"Motorola Solutions, Inc.",Gregory Brown,2018,20348558
FWONA,Liberty Media Corp.,Gregory Maffei,2018,20153546
JNJ,Johnson & Johnson,Alex Gorsky,2018,20097572
QCOM,"QUALCOMM, Inc.",Steven Mollenkopf,2018,19975472
ENDP,Endo International Plc,Paul Campanelli,2018,19970703
VIAB,"Viacom, Inc.",Robert Bakish,2018,19955161
TYL,"Tyler Technologies, Inc.",H. Moore Jr,2018,19835252
MPC,Marathon Petroleum Corp.,Gary Heminger,2018,19806050
NLSN,Nielsen Holdings Plc,David Kenny,2018,19804677
NCR,NCR Corp.,William Nuti,2018,19795606
HLT,"Hilton Worldwide Holdings, Inc.",Christopher Nassetta,2018,19790569
WDC,Western Digital Corp.,Stephen Milligan,2018,19738381
ADM,Archer-Daniels-Midland Co.,Juan Luciano,2018,19637534
PFE,Pfizer Inc.,Ian Read,2018,19549213
V,"Visa, Inc.",Alfred Kelly Jr.,2018,19493946
BMY,Bristol-Myers Squibb Co.,Giovanni Caforio,2018,19379755
PSX,Phillips 66,Greg Garland,2018,19278335
CTXS,"Citrix Systems, Inc.",David Henshall,2018,19258102
HON,"Honeywell International, Inc.",Darius Adamczyk,2018,19246604
HPQ,"HP, Inc.",Dion Weisler,2018,19215534
CI,Cigna Corp.,David Cordani,2018,18944045
TJX,"The TJX Cos., Inc.",Ernie Herrman,2019,18822770
VRTX,"Vertex Pharmaceuticals, Inc.",Jeffrey Leiden,2018,18799147
XOM,Exxon Mobil Corp.,Darren Woods,2018,18777787
VLO,Valero Energy Corp.,Joseph Gorder,2018,18759156
GOSS,"Gossamer Bio, Inc.",Sheila Gujrathi,2018,18709912
ALL,The Allstate Corp.,Thomas Wilson,2018,18687246
DD,"DuPont de Nemours, Inc.",Edward Breen,2018,18675302
VERI,"Veritone, Inc.",Chad Steelberg,2018,18669779
TMO,"Thermo Fisher Scientific, Inc.",Marc Casper,2018,18607103
AMGN,"Amgen, Inc.",Robert Bradway,2018,18555266
DE,Deere & Co.,Samuel Allen,2018,18525667
FIS,"Fidelity National Information Services, Inc.",Gary Norcross,2018,18451529
WFC,Wells Fargo & Co.,Timothy Sloan,2018,18426734
UTX,United Technologies Corp.,Gregory Hayes,2018,18418315
PH,Parker-Hannifin Corp.,Thomas Williams,2018,18238446
LYB,LyondellBasell Industries NV,Bhavesh V. Patel,2018,18206797
EBAY,"eBay, Inc.",Devin Wenig,2018,18172166
MCK,McKesson Corp.,John Hammergren,2018,18143017
UNH,"UnitedHealth Group, Inc.",David Wichmann,2018,18107356
SGEN,"Seattle Genetics, Inc.",Clay Siegall,2018,18107037
INTC,Intel Corp.,Brian Krzanich,2018,18050300
WRK,WestRock Co.,Steven Voorhees,2018,18030504
UVE,"Universal Insurance Holdings, Inc.",Sean Downes,2018,17923379
VFC,VF Corp.,Steven Rendle,2019,17842521
F,Ford Motor Co.,James Hackett,2018,17752835
ITW,"Illinois Tool Works, Inc.",E. Santi,2018,17708516
GIII,G-III Apparel Group Ltd.,Morris Goldfarb,2019,17698980
SIRI,"Sirius XM Holdings, Inc.",James Meyer,2018,17633953
MDT,Medtronic Plc,Omar Ishrak,2018,17585131
LEN,Lennar Corp.,Richard Beckwitt,2018,17583466
TXN,Texas Instruments Incorporated,Richard Templeton,2018,17576224
IBM,International Business Machines Corp.,Virginia Rometty,2018,17552218
AFL,"Aflac, Inc.",Daniel Amos,2018,17535398
WP,"Worldpay, Inc.",Charles Drucker,2018,17500309
MET,"MetLife, Inc.",Steven Kandarian,2018,17426745
BBY,"Best Buy Co., Inc.",Hubert Joly,2019,17382486
PG,Procter & Gamble Co.,David Taylor,2018,17354256
SYMC,Symantec Corp.,Gregory Clark,2018,17347581
COF,Capital One Financial Corp.,Richard Fairbank,2018,17333796
LADR,Ladder Capital Corp.,Brian Harris,2018,17308240
CMI,"Cummins, Inc.",N. Linebarger,2018,17291978
MMC,"Marsh & McLennan Cos., Inc.",Daniel Glaser,2018,17281919
LLY,Eli Lilly & Co.,David Ricks,2018,17230337
TGT,Target Corp.,Brian Cornell,2019,17204069
PLAN,"Anaplan, Inc.",Frank Calderoni,2019,17148503
PVH,PVH Corp.,Emanuel Chirico,2019,17065604
ALKS,Alkermes Plc,Richard Pops,2018,17055802
HAL,Halliburton Co.,Jeffrey Miller,2018,16999898
IPG,"Interpublic Group of Cos., Inc.",Michael Roth,2018,16970730
PAYC,"Paycom Software, Inc.",Chad Richison,2018,16938845
TWOU,"2U, Inc.",Christopher Paucek,2018,16923643
KMI,"Kinder Morgan, Inc.",Steven Kean,2018,16908961
GPN,"Global Payments, Inc.",Jeffrey Sloan,2018,16818560
HZNP,Horizon Therapeutics Plc,Timothy Walbert,2018,16796894
KO,The Coca-Cola Co.,James Quincey,2018,16701328
NOW,"ServiceNow, Inc.",John Donahoe II,2018,16682644
FDX,FedEx Corp.,Frederick Smith,2018,16665398
GE,General Electric Co.,John Flannery,2018,16643290
MKTX,"MarketAxess Holdings, Inc.",Richard McVey,2018,16625183
ALXN,"Alexion Pharmaceuticals, Inc.",Ludwig Hantson,2018,16490250
IQV,"IQVIA Holdings, Inc.",Ari Bousbib,2018,16461779
FBC,"Flagstar Bancorp, Inc.",Alessandro DiNello,2018,16425199
FCX,"Freeport-McMoRan, Inc.",Richard Adkerson,2018,16424035
FNKO,"Funko, Inc.",Brian Mariotti,2018,16395614
HUM,"Humana, Inc.",Bruce Broussard,2018,16312517
CELG,Celgene Corp.,Mark Alles,2018,16223923
SLB,Schlumberger NV,Paal Kibsgaard,2018,16199200
BIIB,"Biogen, Inc.",Michel Vounatsos,2018,16168646
AON,Aon Plc,Gregory Case,2018,16163875
SGH,"SMART Global Holdings, Inc.",Ajay Shah,2018,16102933
STT,State Street Corp.,Joseph Hooley,2018,16102525
UTHR,United Therapeutics Corp.,Martine Rothblatt,2018,16036300
BHGE,"Baker Hughes, a GE Co.",Lorenzo Simonelli,2018,15959761
ARMK,Aramark,Eric Foss,2018,15958908
PM,"Philip Morris International, Inc.",Andre Calantzopoulos,2018,15934235
EMN,Eastman Chemical Co.,Mark Costa,2018,15918483
MCD,McDonald's Corp.,Stephen Easterbrook,2018,15876116
SSNC,"SS&C Technologies Holdings, Inc.",William Stone,2018,15862121
DRI,"Darden Restaurants, Inc.",Eugene Lee Jr.,2018,15770151
PBF,"PBF Energy, Inc.",Thomas Nimbley,2018,15761505
AAPL,"Apple, Inc.",Timothy Cook,2018,15682219
PNC,"The PNC Financial Services Group, Inc.",William Demchak,2018,15676294
ACM,AECOM,Michael Burke,2018,15666319
BAX,"Baxter International, Inc.",Jose Almeida,2018,15645125
EXC,Exelon Corp.,Christopher Crane,2018,15643078
BMRN,"BioMarin Pharmaceutical, Inc.",Jean-Jacques Bienaime,2018,15627893
SCHW,The Charles Schwab Corp.,Walter Bettinger II,2018,15627607
EMR,Emerson Electric Co.,David Farr,2018,15609527
IR,Ingersoll-Rand Plc,Michael Lamach,2018,15585485
NUE,Nucor Corp.,John Ferriola,2018,15559469
NWL,"Newell Brands, Inc.",Michael Polk,2018,15547207
BHF,"Brighthouse Financial, Inc.",Eric Steigerwalt,2018,15537371
APC,Anadarko Petroleum Corp.,R. Walker,2018,15516305
CLF,"Cleveland-Cliffs, Inc.",Celso Goncalves,2018,15443927
JCI,Johnson Controls International Plc,George Oliver,2018,15393868
DHR,Danaher Corp.,Thomas Joyce,2018,15361041
ARW,"Arrow Electronics, Inc.",Michael Long,2018,15339932
MOH,"Molina Healthcare, Inc.",Joseph Zubretsky,2018,15219770
APA,Apache Corp.,John Christmann,2018,15201447
UPS,"United Parcel Service, Inc.",David Abney,2018,15060876
MASI,Masimo Corp.,Joe Kiani,2018,15047156
THO,"Thor Industries, Inc.",Robert Martin,2018,14993153
THC,Tenet Healthcare Corp.,Ronald Rittenmeyer,2018,14984021
DAL,"Delta Air Lines, Inc.",Edward Bastian,2018,14982448
BDX,"Becton, Dickinson & Co.",Vincent Forlenza,2018,14973481
MDLZ,"Mondelez International, Inc.",Dirk de Put,2018,14969900
D,"Dominion Energy, Inc.",Thomas Farrell,2018,14956442
ES,Eversource Energy,James Judge,2018,14925381
GLW,"Corning, Inc.",Wendell Weeks,2018,14921071
DHI,"D.R. Horton, Inc.",David Auld,2018,14860487
MKC,"McCormick & Co., Inc.",Lawrence Kurzius,2018,14836426
NBR,Nabors Industries Ltd.,Anthony Petrello,2018,14742873
BBBY,"Bed Bath & Beyond, Inc.",Steven Temares,2018,14674774
ETN,Eaton Corp. Plc,Craig Arnold,2018,14673845
TRV,"The Travelers Cos., Inc.",Alan Schnitzer,2018,14648213
AGNC,AGNC Investment Corp.,Gary Kain,2018,14645850
CSGP,"CoStar Group, Inc.",Andrew Florance,2018,14640477
FG,FGL Holdings,Christopher Littlefield,2018,14603220
NXST,"Nexstar Media Group, Inc.",Perry Sook,2018,14587076
ICE,"Intercontinental Exchange, Inc.",Jeffrey Sprecher,2018,14513403
CRL,"Charles River Laboratories International, Inc.",James Foster,2018,14450802
CONN,"Conn's, Inc.",Norman Miller,2019,14444225
LNC,Lincoln National Corp.,Dennis Glass,2018,14422495
LGF.A,Lions Gate Entertainment Corp.,Jon Feltheimer,2018,14415221
GFF,Griffon Corp.,Ronald Kramer,2018,14379946
NDAQ,"Nasdaq, Inc.",Adena Friedman,2018,14366397
ECL,"Ecolab, Inc.",Douglas Baker,2018,14364033
PANW,"Palo Alto Networks, Inc.",Mark McLaughlin,2018,14356271
AMT,American Tower Corp.,James Taiclet Jr.,2018,14307936
LOW,"Lowe's Cos., Inc.",Marvin Ellison,2019,14302791
TGTX,"TG Therapeutics, Inc.",Michael Weiss,2018,14298771
NSC,Norfolk Southern Corp.,James Squires,2018,14271985
ULTA,"Ulta Beauty, Inc.",Mary Dillon,2019,14245418
MU,"Micron Technology, Inc.",Sanjay Mehrotra,2018,14241583
ANTM,"Anthem, Inc.",Gail Boudreaux,2018,14184276
PGR,Progressive Corp.,Susan Griffith,2018,14172925
APTV,Aptiv Plc,Kevin Clark,2018,14123103
OXY,Occidental Petroleum Corp.,Vicki Hollub,2018,14105693
CTSH,Cognizant Technology Solutions Corp.,Francisco D'Souza,2018,14094531
AMAT,"Applied Materials, Inc.",Gary Dickerson,2018,14064540
MNK,Mallinckrodt Plc,Mark Trudeau,2018,14044012
ASGN,"ASGN, Inc.",Peter Dameris,2018,14017388
HRS,Harris Corp.,William Brown,2018,14016113
YUM,"Yum! Brands, Inc.",Greg Creed,2018,14007038
